GPU      CPU
1.08797  1.36181
1.06488  1.34594
1.04147  1.3429
1.06219  1.45076
1.0723   1.35294
1.07358  1.34251
1.07094  1.36504
1.06999  1.4667
1.05913  1.30327
1.07792  1.37625
1.06662  1.36375
1.06885  1.36013
1.0751   1.36321
1.05723  1.26576
1.07895  1.31452
1.0469   1.46458
1.07507  1.32221
1.06326  1.27794
1.08452  1.2778
1.08333  1.36821
1.05374  1.22846
1.07315  1.30872
1.05794  1.21354
1.08218  1.34102
1.07351  1.18926
1.08612  1.30611
1.07628  1.31471
1.07207  1.27617
1.07445  1.28164
1.09346  1.24939
1.08187  1.22865
1.05753  1.31937
1.09085  1.26617
1.0857   1.31304
1.08126  1.29426
1.07794  1.24984
1.09968  1.20877
1.08397  1.31606
1.07093  1.2635
1.08293  1.2196
1.07935  1.35949
1.07318  1.23452
1.10208  1.23722
1.10179  1.26509
1.07554  1.19212
1.07321  1.2236
1.1006   1.23046
1.08263  1.21959
1.07392  1.20001
1.08349  1.14451
1.06983  1.19552
1.09529  1.26035
1.08685  1.3253
1.09873  1.18944
1.08726  1.26216
1.10622  1.19441
1.08602  1.41525
1.08404  1.29323
1.09674  1.21322
1.07639  1.1924
1.07114  1.24733
1.09465  1.2236
1.1003   1.21138
1.08833  1.18971
1.07834  1.22622
1.09452  1.28171
1.10789  1.22884
1.09523  1.3298
1.09213  1.48097
1.10907  1.65807
1.10106  1.39953
1.09719  1.24892
1.09553  1.13682
1.06962  1.20357
1.09047  1.21267
1.08878  1.2379
1.10337  1.19592
1.10015  1.14465
1.09274  1.20057
1.09834  1.17584
1.11326  1.1845
1.09327  1.18058
1.11204  1.27847
1.09386  1.2039
1.09071  1.15346
1.08564  1.18317
1.0958   1.2026
1.08463  1.13486
1.10263  1.18388
1.0852   1.24642
1.10567  1.18297
1.09506  1.11772
1.11076  1.18863
1.08391  1.18804
1.08493  1.13631
1.09437  1.14965
1.08228  1.19548
1.10026  1.17113
1.09593  1.26253
1.10236  1.62478
