GPU         CPU
1705797000  339761000
1770486000  339915000
1645153000  340535000
1644085000  339951000
1732864000  340406000
1729195000  349573000
1687464000  339655000
1611682000  354697000
1706563000  341063000
1648876000  340434000
1628361000  343981000
1695540000  339864000
1628954000  340824000
1809710000  341639000
1694849000  339923000
1670181000  339813000
1619250000  339443000
1659026000  347569000
1618448000  339584000
1685074000  340011000
1646759000  339959000
1682975000  340274000
1632657000  340232000
1639924000  346397000
1544222000  341398000
1680520000  339792000
1723204000  340082000
1744761000  340252000
1656328000  339836000
1681606000  342659000
1696650000  350455000
1699877000  340529000
1702515000  340044000
1684005000  344780000
1697777000  339783000
1728350000  342332000
1748179000  340304000
1647984000  340852000
1551229000  339821000
1497002000  344908000
1636536000  340508000
1722516000  341361000
1701657000  340112000
1670592000  360378000
1696825000  341618000
1687570000  341789000
1627025000  340155000
1435805000  340553000
1644115000  340168000
1721897000  340540000
1674501000  339527000
1687907000  340330000
1686098000  340824000
1697171000  394438000
1709263000  343281000
1666478000  340711000
1700908000  362861000
1639052000  339756000
1721540000  340325000
1719245000  342212000
1649265000  341857000
1700523000  341233000
1703353000  340370000
1702521000  347658000
1750957000  340818000
1671995000  339889000
1714316000  340060000
1717877000  340967000
1666019000  340081000
1666385000  339498000
1704078000  339485000
1707813000  340931000
1702955000  339998000
1701350000  346261000
1804720000  347412000
1749987000  340401000
1804347000  339876000
1607979000  340101000
1427541000  339657000
1368910000  341056000
1449185000  340235000
1350684000  342138000
1387504000  342539000
1310625000  340851000
1368937000  339960000
1613116000  340450000
1726917000  340481000
1716865000  340184000
1718765000  339823000
1791359000  340059000
1757091000  341959000
1703628000  346688000
1635209000  341736000
1669196000  340767000
1744536000  341235000
1775416000  340230000
1774946000  339985000
1804837000  343122000
1683598000  342110000
1753081000  340086000
isengard
