GPU         CPU
1043208000  363092000
1024783000  367894000
1023395000  335910000
1026739000  315038000
1025601000  337438000
1028681000  332236000
1032403000  367367000
1031512000  349330000
1023799000  337634000
1019684000  333277000
1016169000  347157000
1007459000  327117000
1022504000  347068000
1031176000  325821000
1022625000  353544000
1021505000  312000000
1023543000  348719000
1051425000  336797000
1014302000  312177000
1023639000  333380000
1027700000  347432000
1032872000  359437000
1024080000  341382000
1031159000  334386000
1044736000  346393000
1037254000  330686000
1044120000  352532000
1029545000  335840000
1046078000  301363000
1034232000  325238000
1005502000  342841000
1034335000  316438000
1015792000  330403000
1045027000  332673000
1021326000  322562000
1045736000  328696000
1021049000  341753000
1012351000  328079000
1035062000  314366000
1036090000  309901000
1038669000  331757000
1030799000  353965000
1040209000  366262000
1028246000  340233000
1027109000  352889000
1012503000  353682000
1027008000  335572000
1028980000  327693000
1034792000  311915000
1032053000  330893000
1028110000  368677000
1061568000  308282000
1025383000  342292000
1048751000  336270000
1034464000  319534000
1038261000  329529000
1030949000  347372000
1040882000  361546000
1046217000  320240000
1042727000  320637000
1050394000  311319000
1048606000  306381000
1041180000  324165000
1036917000  346479000
1033515000  318768000
1030684000  326393000
1035934000  312168000
1040596000  313955000
1050945000  336568000
1032456000  313378000
1036358000  315817000
1087243000  295463000
1034592000  321435000
1039830000  331843000
1032010000  317955000
1035675000  311231000
1026946000  329154000
1054542000  330684000
1024462000  324107000
1038901000  308112000
1057392000  306054000
1033818000  303153000
1048435000  303765000
1032169000  334089000
1068811000  308851000
1073362000  310229000
1063381000  284913000
1025622000  283084000
1039519000  329389000
1037305000  336702000
1035250000  307117000
1051877000  294171000
1023541000  333664000
1052095000  323987000
1028817000  338385000
1054652000  294450000
1030112000  308671000
1052482000  309824000
1040087000  314255000
1029171000  341439000
