GPU         CPU
1054441000  359625000
1028518000  359364000
1032083000  347259000
1025145000  359953000
1028693000  374450000
1032159000  333125000
1017295000  381448000
1021614000  331063000
1036884000  341449000
1028823000  366118000
1038885000  374281000
1022610000  319443000
1025533000  357072000
1014039000  344521000
1038974000  381660000
1020079000  319534000
1055532000  355385000
1018434000  327796000
1042371000  342991000
1034014000  358491000
1031107000  330421000
1021546000  337483000
1037313000  353204000
1032804000  363897000
1034854000  372101000
1021152000  352934000
1039443000  325611000
1052206000  390161000
1037358000  342367000
1046186000  383312000
1026135000  342039000
1034149000  345993000
1020899000  338948000
1021352000  305781000
1019824000  356349000
1027381000  342168000
1028329000  336582000
1029308000  340932000
1034693000  323774000
1026020000  369969000
1028616000  337248000
1034499000  326756000
1053425000  376740000
1066200000  347319000
1025849000  376927000
1047318000  323490000
1042508000  316442000
1034562000  344847000
1035984000  333903000
1077515000  360955000
1028793000  348560000
1033210000  329468000
1036899000  312776000
1053112000  313676000
1039712000  350993000
1056592000  331354000
1033319000  311703000
1061069000  335177000
1031266000  325573000
1144792000  339925000
1075705000  318330000
1032581000  345363000
1037683000  319149000
1062943000  317304000
1045758000  294313000
1023189000  377739000
1034224000  342196000
1032711000  328279000
1051448000  320327000
1046893000  312456000
1033450000  352080000
1034415000  287492000
1053590000  286162000
1038242000  332456000
1047912000  338609000
1065738000  357599000
1053975000  343579000
1039716000  308832000
1052770000  322636000
1037313000  319821000
1055932000  313144000
1047765000  320575000
1063691000  334985000
1050247000  321262000
1060698000  348685000
1062829000  334979000
1023982000  359931000
1057669000  328184000
1043133000  301314000
1050443000  336696000
1061093000  296777000
1060895000  342091000
1061684000  313680000
1018543000  326892000
1038989000  300729000
1053693000  318032000
1079377000  329882000
1069574000  312333000
1100751000  373095000
1032863000  313819000
